date,bdi_index,fuel in usd,congestion_score,freight_rate_usd_per_t,bdi_lag_1,bdi_lag_7,bdi_roll_mean_7,bdi_roll_std_7,month,dayofweek
27-01-2016,310.13,283.06,0.14,17.9,321.12,339.0,327.8257,13.7857,1,2
28-01-2016,315.26,282.07,0.17,18.04,310.13,351.8,322.6057,9.4221,1,3
29-01-2016,306.47,277.57,0.19,17.93,315.26,336.5,318.3157,8.8613,1,4
30-01-2016,305.13,275.42,0.14,17.74,306.47,333.6,314.2486,7.0191,1,5
31-01-2016,300.62,277.34,0.18,17.84,305.13,320.31,311.4357,8.0541,1,6
01-02-2016,311.37,275.51,0.16,17.87,300.62,321.32,310.0143,6.7992,2,0
02-02-2016,298.92,276.67,0.15,17.72,311.37,321.12,306.8429,5.8697,2,1
03-02-2016,291.27,279.14,0.15,17.67,298.92,310.13,304.1486,8.0375,2,2
04-02-2016,299.48,275.03,0.17,17.76,291.27,315.26,301.8943,6.4598,2,3
05-02-2016,287.12,275.63,0.16,17.6,299.48,306.47,299.13,8.1058,2,4
06-02-2016,293.39,275.59,0.22,17.85,287.12,305.13,297.4529,7.8685,2,5
07-02-2016,281.02,277.13,0.12,17.43,293.39,300.62,294.6529,9.8031,2,6
08-02-2016,283.63,270.17,0.17,17.51,281.02,311.37,290.69,7.1731,2,0
09-02-2016,291.17,273.69,0.13,17.53,283.63,298.92,289.5829,6.2268,2,1
10-02-2016,293.85,275.46,0.12,17.55,291.17,291.27,289.9514,6.4168,2,2
11-02-2016,291.11,277.66,0.15,17.64,293.85,299.48,288.7557,4.9597,2,3
12-02-2016,290.26,274.01,0.15,17.58,291.11,287.12,289.2043,4.929,2,4
13-02-2016,290.35,271.07,0.24,17.81,290.26,293.39,288.77,4.6231,2,5
14-02-2016,285.6,276.72,0.14,17.54,290.35,281.02,289.4243,3.541,2,6
15-02-2016,291.45,274.15,0.12,17.51,285.6,283.63,290.5414,2.4841,2,0
16-02-2016,295.06,273.16,0.16,17.65,291.45,291.17,291.0971,3.0245,2,1
17-02-2016,305.86,274.68,0.1,17.62,295.06,293.85,292.8129,6.3854,2,2
18-02-2016,305.01,275.96,0.15,17.78,305.86,291.11,294.7986,7.7772,2,3
19-02-2016,296.74,275.38,0.15,17.67,305.01,290.26,295.7243,7.5287,2,4
20-02-2016,311.95,272.21,0.18,17.89,296.74,290.35,298.81,9.1998,2,5
21-02-2016,311.96,279.51,0.18,17.99,311.95,285.6,302.5757,8.2359,2,6
22-02-2016,314.56,280.81,0.14,17.92,311.96,291.45,305.8771,7.6433,2,0
23-02-2016,326.61,279.92,0.15,18.07,314.56,295.06,310.3843,9.3199,2,1
24-02-2016,334.04,276.45,0.13,18.05,326.61,305.86,314.41,12.5621,2,2
25-02-2016,338.72,279.08,0.12,18.11,334.04,305.01,319.2257,14.6465,2,3
26-02-2016,333.46,280.1,0.17,18.21,338.72,296.74,324.4714,11.4855,2,4
27-02-2016,342.36,282.07,0.12,18.19,333.46,311.95,328.8157,11.709,2,5
28-02-2016,352.32,282.87,0.15,18.4,342.36,311.96,334.5814,11.96,2,6
29-02-2016,362.66,280.37,0.13,18.42,352.32,314.56,341.4529,12.3509,2,0
01-03-2016,359.68,282.9,0.18,18.58,362.66,326.61,346.1771,12.0482,3,1
02-03-2016,368.18,284.46,0.22,18.81,359.68,334.04,351.0543,13.1737,3,2
03-03-2016,368.73,287.47,0.12,18.56,368.18,338.72,355.3414,13.3723,3,3
04-03-2016,374.96,286.53,0.11,18.59,368.73,333.46,361.27,11.0527,3,4
05-03-2016,396.09,287.51,0.16,18.99,374.96,342.36,368.9457,13.9964,3,5
06-03-2016,407.42,286.7,0.17,19.13,396.09,352.32,376.8171,18.0071,3,6
07-03-2016,404.66,290.57,0.17,19.16,407.42,362.66,382.8171,19.4437,3,0
08-03-2016,420.26,289.11,0.15,19.25,404.66,359.68,391.4714,20.8594,3,1
09-03-2016,423.29,287.03,0.16,19.29,420.26,368.18,399.3443,21.003,3,2
10-03-2016,423.44,293.15,0.18,19.44,423.29,368.73,407.16,17.6188,3,3
11-03-2016,439.22,292.41,0.2,19.66,423.44,374.96,416.34,14.5122,3,4
12-03-2016,456.75,290.66,0.11,19.56,439.22,396.09,425.0057,18.0779,3,5
13-03-2016,452.3,291.48,0.16,19.68,456.75,407.42,431.4171,18.7476,3,6
14-03-2016,473.78,294.23,0.18,20.01,452.3,404.66,441.2914,20.4328,3,0
15-03-2016,446.95,295.56,0.15,19.64,473.78,420.26,445.1043,18.2251,3,1
16-03-2016,484.45,295.89,0.23,20.31,446.95,423.29,453.8414,20.5377,3,2
17-03-2016,486.5,297.12,0.16,20.14,484.45,423.44,462.85,18.7308,3,3
18-03-2016,491.45,301.39,0.18,20.31,486.5,439.22,470.3114,18.1426,3,4
19-03-2016,503.33,300.87,0.2,20.5,491.45,456.75,476.9657,20.7014,3,5
20-03-2016,492.61,299.75,0.16,20.24,503.33,452.3,482.7243,18.1452,3,6
21-03-2016,517.21,302.54,0.13,20.47,492.61,473.78,488.9286,21.6614,3,0
22-03-2016,531.0,298.77,0.17,20.69,517.21,446.95,500.9357,17.3873,3,1
23-03-2016,550.19,303.21,0.22,21.12,531.0,484.45,510.3271,23.6316,3,2
24-03-2016,539.12,307.63,0.18,20.94,550.19,486.5,517.8443,23.1534,3,3
25-03-2016,544.37,303.7,0.16,20.88,539.12,491.45,525.4043,21.6924,3,4
26-03-2016,555.49,303.16,0.22,21.18,544.37,503.33,532.8557,21.8043,3,5
27-03-2016,577.98,304.62,0.18,21.33,555.49,492.61,545.0514,19.2696,3,6
28-03-2016,579.99,304.52,0.18,21.35,577.98,517.21,554.02,18.7546,3,0
29-03-2016,578.87,306.25,0.2,21.42,579.99,531.0,560.8586,17.6571,3,1
30-03-2016,597.66,308.25,0.22,21.72,578.87,550.19,567.64,21.561,3,2
31-03-2016,600.86,306.65,0.27,21.88,597.66,539.12,576.46,20.5544,3,3
01-04-2016,617.88,311.14,0.22,21.99,600.86,544.37,586.9614,20.2022,4,4
02-04-2016,606.85,314.31,0.23,21.94,617.88,555.49,594.2986,15.6899,4,5
03-04-2016,618.12,310.74,0.18,21.87,606.85,577.98,600.0329,16.0626,4,6
04-04-2016,624.34,317.77,0.17,22.0,618.12,579.99,606.3686,15.5787,4,0
05-04-2016,618.84,316.16,0.2,22.01,624.34,578.87,612.0786,10.225,4,1
06-04-2016,645.62,318.4,0.21,22.37,618.84,597.66,618.93,14.2352,4,2
07-04-2016,651.64,315.03,0.17,22.27,645.62,600.86,626.1843,16.2834,4,3
08-04-2016,654.83,319.76,0.2,22.46,651.64,617.88,631.4629,18.9185,4,4
09-04-2016,657.93,315.68,0.22,22.5,654.83,606.85,638.76,17.6514,4,5
10-04-2016,649.44,321.59,0.22,22.49,657.93,618.12,643.2343,15.3697,4,6
11-04-2016,666.78,320.6,0.22,22.67,649.44,624.34,649.2971,15.0414,4,0
12-04-2016,672.87,322.4,0.22,22.76,666.78,618.84,657.0157,9.7337,4,1
13-04-2016,672.1,318.76,0.2,22.64,672.87,645.62,660.7986,9.7123,4,2
14-04-2016,684.57,320.26,0.2,22.8,672.1,651.64,665.5029,12.1947,4,3
15-04-2016,695.89,324.88,0.18,22.94,684.57,654.83,671.3686,15.6038,4,4
16-04-2016,718.45,321.61,0.27,23.41,695.89,657.93,680.0143,22.2625,4,5
17-04-2016,700.73,325.99,0.21,23.1,718.45,649.44,687.3414,18.6737,4,6
18-04-2016,705.12,321.92,0.21,23.09,700.73,666.78,692.8186,17.2025,4,0
19-04-2016,703.9,328.36,0.19,23.11,705.12,672.87,697.2514,15.0713,4,1
20-04-2016,683.04,323.56,0.3,23.13,703.9,672.1,698.8143,12.35,4,2
21-04-2016,709.38,328.84,0.18,23.14,683.04,684.57,702.3586,11.075,4,3
22-04-2016,712.36,329.62,0.2,23.25,709.38,695.89,704.7114,11.2203,4,4
23-04-2016,744.68,326.7,0.23,23.66,712.36,718.45,708.4586,18.5554,4,5
24-04-2016,711.66,330.58,0.24,23.37,744.68,700.73,710.02,18.2541,4,6
25-04-2016,718.66,330.23,0.25,23.48,711.66,705.12,711.9543,18.3654,4,0
26-04-2016,714.55,328.58,0.27,23.47,718.66,703.9,713.4757,18.0249,4,1
27-04-2016,699.93,327.77,0.24,23.2,714.55,683.04,715.8886,13.9391,4,2
28-04-2016,729.61,325.68,0.19,23.36,699.93,709.38,718.7786,14.4524,4,3
29-04-2016,724.45,332.23,0.21,23.45,729.61,712.36,720.5057,14.2789,4,4
30-04-2016,724.78,327.57,0.23,23.45,724.45,744.68,717.6629,10.0052,4,5
01-05-2016,702.7,332.39,0.28,23.42,724.78,711.66,716.3829,11.3799,5,6
02-05-2016,732.16,331.85,0.18,23.44,702.7,718.66,718.3114,12.8757,5,0
03-05-2016,695.81,334.77,0.26,23.32,732.16,714.55,715.6343,15.4742,5,1
04-05-2016,721.01,332.56,0.23,23.48,695.81,699.93,718.6457,13.8774,5,2
05-05-2016,741.2,332.89,0.25,23.77,721.01,729.61,720.3014,15.9415,5,3
06-05-2016,699.95,336.12,0.22,23.26,741.2,724.45,716.8014,17.4929,5,4
07-05-2016,704.92,335.45,0.2,23.25,699.95,724.78,713.9643,17.5934,5,5
08-05-2016,712.95,335.79,0.25,23.49,704.92,702.7,715.4286,16.913,5,6
09-05-2016,704.68,336.59,0.25,23.41,712.95,732.16,711.5029,15.5135,5,0
10-05-2016,690.71,331.58,0.25,23.18,704.68,695.81,710.7743,16.464,5,1
11-05-2016,710.79,338.12,0.23,23.44,690.71,721.01,709.3143,15.8466,5,2
12-05-2016,695.7,338.1,0.21,23.21,710.79,741.2,702.8143,7.9539,5,3
13-05-2016,714.61,334.08,0.18,23.28,695.7,699.95,704.9086,8.9426,5,4
14-05-2016,696.13,336.52,0.25,23.31,714.61,704.92,703.6529,9.5381,5,5
15-05-2016,726.82,337.44,0.24,23.64,696.13,712.95,705.6343,12.7059,5,6
16-05-2016,696.35,337.53,0.2,23.18,726.82,704.68,704.4443,13.191,5,0
17-05-2016,701.41,339.15,0.21,23.29,696.35,690.71,705.9729,11.8901,5,1
18-05-2016,714.97,342.48,0.21,23.49,701.41,710.79,706.57,12.2712,5,2
19-05-2016,688.19,341.88,0.18,23.09,714.97,695.7,705.4971,13.6327,5,3
20-05-2016,705.76,335.72,0.2,23.26,688.19,714.61,704.2329,13.0444,5,4
21-05-2016,718.48,341.31,0.2,23.48,705.76,696.13,707.4257,13.4592,5,5
22-05-2016,680.73,343.57,0.22,23.15,718.48,726.82,700.8414,13.6623,5,6
23-05-2016,702.37,341.34,0.21,23.33,680.73,696.35,701.7014,13.5212,5,0
24-05-2016,702.32,343.59,0.18,23.27,702.37,701.41,701.8314,13.5223,5,1
25-05-2016,707.86,346.44,0.29,23.71,702.32,714.97,700.8157,12.607,5,2
26-05-2016,681.49,344.06,0.27,23.32,707.86,688.19,699.8586,13.9121,5,3
27-05-2016,679.41,342.27,0.21,23.09,681.49,705.76,696.0943,15.521,5,4
28-05-2016,701.41,344.77,0.24,23.46,679.41,718.48,693.6557,12.456,5,5
29-05-2016,697.5,342.62,0.24,23.39,701.41,680.73,696.0514,11.0939,5,6
30-05-2016,695.81,342.6,0.27,23.46,697.5,702.37,695.1143,10.7427,5,0
31-05-2016,695.88,341.88,0.21,23.27,695.81,702.32,694.1943,10.2889,5,1
01-06-2016,681.98,347.44,0.26,23.34,695.88,707.86,690.4971,9.1463,6,2
02-06-2016,692.17,341.21,0.22,23.25,681.98,681.49,692.0229,8.2392,6,3
03-06-2016,691.76,347.97,0.19,23.25,692.17,679.41,693.7871,6.1441,6,4
04-06-2016,678.12,345.43,0.25,23.24,691.76,701.41,690.46,7.4873,6,5
05-06-2016,708.81,340.5,0.27,23.57,678.12,697.5,692.0757,10.0436,6,6
06-06-2016,690.43,345.66,0.31,23.56,708.81,695.81,691.3071,9.9153,6,0
07-06-2016,668.74,339.15,0.2,22.89,690.43,695.88,687.43,12.7346,6,1
08-06-2016,690.25,346.96,0.25,23.4,668.74,681.98,688.6114,12.5266,6,2
09-06-2016,669.03,347.97,0.22,23.08,690.25,692.17,685.3057,14.3514,6,3
10-06-2016,689.4,344.17,0.26,23.38,669.03,691.76,684.9686,14.2014,6,4
11-06-2016,692.7,346.44,0.19,23.24,689.4,678.12,687.0514,14.0984,6,5
12-06-2016,667.33,351.8,0.2,23.06,692.7,708.81,681.1257,11.9881,6,6
13-06-2016,687.84,345.26,0.21,23.22,667.33,690.43,680.7557,11.6893,6,0
14-06-2016,679.9,344.01,0.24,23.21,687.84,668.74,682.35,10.4754,6,1
15-06-2016,683.64,351.34,0.22,23.29,679.9,690.25,681.4057,9.9282,6,2
16-06-2016,695.41,352.96,0.26,23.57,683.64,669.03,685.1743,9.4425,6,3
17-06-2016,668.27,347.79,0.27,23.22,695.41,689.4,682.1557,11.0986,6,4
18-06-2016,660.93,350.87,0.25,23.12,668.27,692.7,677.6171,12.4782,6,5
19-06-2016,658.1,352.07,0.29,23.23,660.93,667.33,676.2986,14.1254,6,6
20-06-2016,657.8,346.53,0.25,23.03,658.1,687.84,672.0071,14.5902,6,0
21-06-2016,665.49,347.52,0.2,22.98,657.8,679.9,669.9486,14.3047,6,1
22-06-2016,669.31,352.58,0.28,23.33,665.49,683.64,667.9014,12.9831,6,2
23-06-2016,667.35,354.13,0.22,23.15,669.31,695.41,663.8929,4.8728,6,3
24-06-2016,672.74,351.26,0.26,23.29,667.35,668.27,664.5314,5.7551,6,4
25-06-2016,661.87,347.49,0.29,23.21,672.74,660.93,664.6657,5.6673,6,5
26-06-2016,677.85,355.79,0.25,23.38,661.87,658.1,667.4871,6.6796,6,6
27-06-2016,656.29,349.0,0.19,22.86,677.85,657.8,667.2714,7.0583,6,0
28-06-2016,690.55,349.81,0.21,23.32,656.29,665.49,670.8514,11.1648,6,1
29-06-2016,664.61,351.98,0.28,23.27,690.55,669.31,670.18,11.4116,6,2
30-06-2016,646.0,355.65,0.23,22.96,664.61,667.35,667.13,14.6793,6,3
01-07-2016,642.42,353.95,0.24,22.93,646.0,672.74,662.7986,17.0327,7,4
02-07-2016,659.68,352.98,0.26,23.17,642.42,661.87,662.4857,17.0726,7,5
03-07-2016,650.34,353.39,0.26,23.07,659.68,677.85,658.5557,16.0841,7,6
04-07-2016,660.33,352.47,0.25,23.14,650.34,656.29,659.1329,16.0617,7,0
05-07-2016,656.5,354.18,0.23,23.06,660.33,690.55,654.2686,8.1868,7,1
06-07-2016,649.13,345.73,0.23,22.86,656.5,664.61,652.0571,6.9206,7,2
07-07-2016,639.15,352.3,0.27,22.96,649.13,646.0,651.0786,8.2721,7,3
08-07-2016,630.44,354.09,0.26,22.86,639.15,642.42,649.3671,11.1134,7,4
09-07-2016,642.02,350.41,0.23,22.84,630.44,659.68,646.8443,10.3611,7,5
10-07-2016,656.31,355.03,0.27,23.19,642.02,650.34,647.6971,10.9271,7,6
11-07-2016,647.99,353.62,0.24,22.99,656.31,660.33,645.9343,9.4441,7,0
12-07-2016,630.23,359.44,0.22,22.81,647.99,656.5,642.1814,9.7601,7,1
13-07-2016,645.91,359.2,0.22,22.98,630.23,649.13,641.7214,9.4489,7,2
14-07-2016,647.61,353.68,0.21,22.89,645.91,639.15,642.93,9.6049,7,3
15-07-2016,632.21,354.84,0.24,22.83,647.61,630.44,643.1829,9.2376,7,4
16-07-2016,643.51,355.33,0.28,23.08,632.21,642.02,643.3957,9.2235,7,5
17-07-2016,641.75,354.52,0.22,22.87,643.51,656.31,641.3157,7.2581,7,6
18-07-2016,627.29,356.63,0.25,22.83,641.75,647.99,638.3586,8.2365,7,0
19-07-2016,644.0,354.19,0.23,22.92,627.29,630.23,640.3257,7.5907,7,1
20-07-2016,645.78,353.4,0.24,22.96,644.0,645.91,640.3071,7.5749,7,2
21-07-2016,651.27,358.67,0.2,22.98,645.78,647.61,640.83,8.2584,7,3
22-07-2016,650.45,358.97,0.24,23.09,651.27,632.21,643.4357,7.9574,7,4
23-07-2016,622.1,355.15,0.24,22.72,650.45,643.51,640.3771,11.3258,7,5
24-07-2016,626.76,360.29,0.26,22.9,622.1,641.75,638.2357,12.3901,7,6
25-07-2016,643.08,356.19,0.25,23.0,626.76,627.29,640.4914,11.4683,7,0
26-07-2016,642.76,359.01,0.21,22.91,643.08,644.0,640.3143,11.4145,7,1
27-07-2016,642.51,360.92,0.28,23.15,642.76,645.78,639.8471,11.2188,7,2
28-07-2016,680.53,358.75,0.25,23.45,642.51,651.27,644.0271,18.9626,7,3
29-07-2016,642.76,360.44,0.25,23.06,680.53,650.45,642.9286,18.75,7,4
30-07-2016,649.1,357.94,0.25,23.09,642.76,622.1,646.7857,16.3783,7,5
31-07-2016,646.95,359.14,0.23,23.02,649.1,626.76,649.67,13.8459,7,6
01-08-2016,643.46,359.41,0.26,23.08,646.95,643.08,649.7243,13.8165,8,0
02-08-2016,632.55,358.14,0.26,22.94,643.46,642.76,648.2657,15.1489,8,1
03-08-2016,645.32,360.07,0.2,22.93,632.55,642.51,648.6671,15.0075,8,2
04-08-2016,628.52,356.39,0.24,22.81,645.32,680.53,641.2371,7.6983,8,3
05-08-2016,635.73,359.72,0.24,22.94,628.52,642.76,640.2329,7.9218,8,4
06-08-2016,634.21,360.6,0.26,22.99,635.73,649.1,638.1057,7.1006,8,5
07-08-2016,642.38,360.95,0.29,23.18,634.21,646.95,637.4529,6.3189,8,6
08-08-2016,670.16,361.27,0.23,23.31,642.38,643.46,641.2671,13.9726,8,0
09-08-2016,623.85,362.06,0.24,22.84,670.16,632.55,640.0243,15.2094,8,1
10-08-2016,656.01,363.89,0.24,23.22,623.85,645.32,641.5514,16.3255,8,2
11-08-2016,631.83,365.3,0.23,22.94,656.01,628.52,642.0243,15.9282,8,3
12-08-2016,648.14,361.14,0.25,23.13,631.83,635.73,643.7971,15.801,8,4
13-08-2016,669.8,359.79,0.28,23.44,648.14,634.21,648.8814,17.8013,8,5
14-08-2016,661.16,360.51,0.23,23.2,669.8,642.38,651.5643,18.0713,8,6
15-08-2016,651.22,362.38,0.27,23.24,661.16,670.16,648.8586,16.1375,8,0
16-08-2016,659.44,363.03,0.21,23.16,651.22,623.85,653.9429,12.0284,8,1
17-08-2016,680.44,362.06,0.24,23.47,659.44,656.01,657.4329,15.7091,8,2
18-08-2016,667.71,360.77,0.25,23.34,680.44,631.83,662.5586,11.1569,8,3
19-08-2016,683.87,363.47,0.31,23.74,667.71,648.14,667.6629,11.6244,8,4
20-08-2016,686.59,365.57,0.26,23.65,683.87,669.8,670.0614,13.688,8,5
21-08-2016,682.94,367.02,0.2,23.45,686.59,661.16,673.1729,13.8023,8,6
22-08-2016,723.14,363.9,0.21,23.88,682.94,651.22,683.4471,20.0785,8,0
23-08-2016,709.69,364.56,0.27,23.92,723.14,659.44,690.6257,19.0197,8,1
24-08-2016,681.5,363.29,0.29,23.65,709.69,680.44,690.7771,18.9291,8,2
25-08-2016,715.45,366.15,0.28,24.04,681.5,667.71,697.5971,17.7995,8,3
26-08-2016,710.45,363.99,0.28,23.95,715.45,683.87,701.3943,17.2084,8,4
27-08-2016,736.27,368.39,0.31,24.4,710.45,686.59,708.4914,20.0887,8,5
28-08-2016,721.0,361.7,0.26,23.98,736.27,682.94,713.9286,16.9213,8,6
29-08-2016,736.36,366.12,0.3,24.33,721.0,723.14,715.8171,18.7587,8,0
30-08-2016,751.25,368.3,0.23,24.32,736.36,709.69,721.7543,22.6662,8,1
31-08-2016,762.94,368.18,0.25,24.51,751.25,681.5,733.3886,19.1959,8,2
01-09-2016,741.74,375.8,0.22,24.29,762.94,715.45,737.1443,17.6074,9,3
02-09-2016,760.54,369.13,0.27,24.56,741.74,710.45,744.3,14.9246,9,4
03-09-2016,765.69,365.37,0.28,24.59,760.54,736.27,748.5029,16.3598,9,5
04-09-2016,770.4,368.27,0.28,24.69,765.69,721.0,755.56,12.7823,9,6
05-09-2016,811.98,363.54,0.28,25.08,770.4,736.36,766.3629,22.2785,9,0
06-09-2016,800.27,368.77,0.26,24.97,811.98,751.25,773.3657,24.3447,9,1
07-09-2016,783.88,366.78,0.28,24.82,800.27,762.94,776.3571,24.1358,9,2
08-09-2016,823.18,372.17,0.24,25.21,783.88,741.74,787.9914,24.2959,9,3
09-09-2016,848.84,368.06,0.33,25.71,823.18,760.54,800.6057,29.9357,9,4
10-09-2016,840.85,369.57,0.28,25.49,848.84,765.69,811.3429,28.7818,9,5
11-09-2016,810.7,368.26,0.27,25.11,840.85,770.4,817.1,22.5922,9,6
12-09-2016,834.21,375.52,0.34,25.68,810.7,811.98,820.2757,23.3038,9,0
13-09-2016,869.06,369.64,0.25,25.72,834.21,800.27,830.1029,27.5743,9,1
14-09-2016,846.95,376.26,0.26,25.6,869.06,783.88,839.1129,18.8903,9,2
15-09-2016,873.06,373.46,0.26,25.85,846.95,823.18,846.2386,21.151,9,3
16-09-2016,886.64,372.71,0.29,26.08,873.06,848.84,851.6386,26.1584,9,4
17-09-2016,868.08,372.6,0.31,25.93,886.64,840.85,855.5286,26.3109,9,5
18-09-2016,890.26,372.9,0.32,26.21,868.08,810.7,866.8943,20.1908,9,6
19-09-2016,847.17,366.22,0.38,25.82,890.26,834.21,868.7457,17.043,9,0
20-09-2016,891.39,371.36,0.23,25.93,847.17,869.06,871.9357,19.0798,9,1
21-09-2016,912.46,374.94,0.32,26.49,891.39,846.95,881.2943,20.7729,9,2
22-09-2016,904.37,372.51,0.29,26.28,912.46,873.06,885.7671,22.0368,9,3
23-09-2016,961.12,368.69,0.29,26.86,904.37,886.64,896.4071,36.0521,9,4
24-09-2016,917.97,372.96,0.29,26.43,961.12,868.08,903.5343,34.4129,9,5
25-09-2016,943.24,378.44,0.28,26.77,917.97,890.26,911.1029,36.7533,9,6
26-09-2016,961.57,377.31,0.36,27.19,943.24,847.17,927.4457,27.9725,9,0
27-09-2016,992.96,373.64,0.33,27.4,961.57,891.39,941.9557,32.1794,9,1
28-09-2016,951.13,376.91,0.31,26.92,992.96,912.46,947.48,29.4777,9,2
29-09-2016,1005.49,373.21,0.35,27.6,951.13,904.37,961.9257,29.6073,9,3
30-09-2016,993.53,369.44,0.27,27.17,1005.49,961.12,966.5557,31.9053,9,4
01-10-2016,984.09,372.02,0.27,27.1,993.53,917.97,976.0014,23.9096,10,5
02-10-2016,1018.59,379.72,0.25,27.54,984.09,943.24,986.7657,23.6622,10,6
03-10-2016,1022.2,374.46,0.3,27.65,1018.59,961.57,995.4271,23.9966,10,0
04-10-2016,1015.77,374.8,0.32,27.65,1022.2,992.96,998.6857,25.1278,10,1
05-10-2016,1036.42,374.88,0.32,27.88,1015.77,951.13,1010.87,17.8492,10,2
06-10-2016,1036.08,381.76,0.32,27.97,1036.42,1005.49,1015.24,19.9353,10,3
07-10-2016,1053.6,381.18,0.28,28.04,1036.08,993.53,1023.8214,21.8677,10,4
08-10-2016,1072.14,383.23,0.35,28.49,1053.6,984.09,1036.4,20.4846,10,5
09-10-2016,1097.97,376.32,0.33,28.62,1072.14,1018.59,1047.74,29.1297,10,6
10-10-2016,1051.43,377.96,0.35,28.18,1097.97,1022.2,1051.9157,26.8654,10,0
11-10-2016,1124.79,372.75,0.27,28.69,1051.43,1015.77,1067.49,33.2584,10,1
12-10-2016,1052.58,382.06,0.34,28.22,1124.79,1036.42,1069.7986,31.242,10,2
13-10-2016,1095.52,374.33,0.29,28.44,1052.58,1036.08,1078.29,28.5082,10,3
14-10-2016,1117.75,378.79,0.32,28.84,1095.52,1053.6,1087.4543,29.5407,10,4
15-10-2016,1119.06,375.09,0.35,28.9,1117.75,1072.14,1094.1571,30.7837,10,5
16-10-2016,1108.14,376.91,0.33,28.74,1119.06,1097.97,1095.61,31.2304,10,6
17-10-2016,1123.63,376.43,0.31,28.85,1108.14,1051.43,1105.9243,25.6274,10,0
18-10-2016,1124.81,377.41,0.33,28.93,1123.63,1124.79,1105.9271,25.6298,10,1
19-10-2016,1129.66,377.9,0.29,28.88,1124.81,1052.58,1116.9386,11.6182,10,2
20-10-2016,1166.08,378.16,0.37,29.53,1129.66,1095.52,1127.0186,18.5058,10,3
21-10-2016,1162.54,382.66,0.33,29.43,1166.08,1117.75,1133.4171,22.1512,10,4
22-10-2016,1147.08,377.06,0.37,29.3,1162.54,1119.06,1137.42,21.6504,10,5
23-10-2016,1186.77,381.39,0.32,29.65,1147.08,1108.14,1148.6529,24.1775,10,6
24-10-2016,1180.48,384.74,0.32,29.63,1186.77,1123.63,1156.7743,23.918,10,0
25-10-2016,1197.2,379.77,0.32,29.75,1180.48,1124.81,1167.1157,23.439,10,1
26-10-2016,1199.16,379.45,0.37,29.92,1197.2,1129.66,1177.0443,19.2795,10,2
27-10-2016,1173.54,381.25,0.32,29.5,1199.16,1166.08,1178.11,18.7719,10,3
28-10-2016,1184.66,385.88,0.36,29.81,1173.54,1162.54,1181.27,17.5352,10,4
29-10-2016,1218.12,383.19,0.33,30.06,1184.66,1147.08,1191.4186,14.7925,10,5
30-10-2016,1220.23,381.3,0.28,29.91,1218.12,1186.77,1196.1986,18.0806,10,6
31-10-2016,1211.33,384.74,0.33,30.01,1220.23,1180.48,1200.6057,17.356,10,0
01-11-2016,1218.96,380.21,0.31,29.97,1211.33,1197.2,1203.7143,18.5518,11,1
02-11-2016,1248.86,386.02,0.35,30.51,1218.96,1199.16,1210.8143,24.9317,11,2
