date,port,congestion_score,avg_queue_length_vessels,avg_wait_hours,is_synthetic,month,day_of_week,is_monsoon_season
2024-10-11,Los Angeles,0.5772,6,64.3,True,10,4,0
2024-10-12,Los Angeles,0.5081,5,46.4,True,10,5,0
2024-10-13,Los Angeles,0.5101,5,41.2,True,10,6,0
2024-10-14,Los Angeles,0.5596,7,60.3,True,10,0,0
2024-10-15,Los Angeles,0.3927,4,40.0,True,10,1,0
2024-10-16,Los Angeles,0.4461,6,54.0,True,10,2,0
2024-10-17,Los Angeles,0.5393,2,30.9,True,10,3,0
2024-10-18,Los Angeles,0.4646,6,57.2,True,10,4,0
2024-10-19,Los Angeles,0.5288,5,49.1,True,10,5,0
2024-10-20,Los Angeles,0.5344,4,42.8,True,10,6,0
2024-10-21,Los Angeles,0.6079,6,71.8,True,10,0,0
2024-10-22,Los Angeles,0.3364,2,34.2,True,10,1,0
2024-10-23,Los Angeles,0.3686,4,45.9,True,10,2,0
2024-10-24,Los Angeles,0.5332,6,54.6,True,10,3,0
2024-10-25,Los Angeles,0.4368,2,31.0,True,10,4,0
2024-10-26,Los Angeles,0.6388,6,71.8,True,10,5,0
2024-10-27,Los Angeles,0.5391,8,75.4,True,10,6,0
2024-10-28,Los Angeles,0.4303,4,51.6,True,10,0,0
2024-10-29,Los Angeles,0.4271,2,25.9,True,10,1,0
2024-10-30,Los Angeles,0.482,2,30.9,True,10,2,0
2024-10-31,Los Angeles,0.5668,5,47.9,True,10,3,0
2024-11-01,Los Angeles,0.3867,2,16.1,True,11,4,0
2024-11-02,Los Angeles,0.5358,6,65.0,True,11,5,0
2024-11-03,Los Angeles,0.5119,4,33.6,True,11,6,0
2024-11-04,Los Angeles,0.618,7,69.6,True,11,0,0
2024-11-05,Los Angeles,0.4881,7,68.5,True,11,1,0
2024-11-06,Los Angeles,0.5404,5,53.1,True,11,2,0
2024-11-07,Los Angeles,0.2473,2,11.2,True,11,3,0
2024-11-08,Los Angeles,0.6304,6,71.7,True,11,4,0
2024-11-09,Los Angeles,0.2919,4,48.5,True,11,5,0
2024-11-10,Los Angeles,0.5359,7,72.6,True,11,6,0
2024-11-11,Los Angeles,0.4603,3,48.2,True,11,0,0
2024-11-12,Los Angeles,0.419,6,58.7,True,11,1,0
2024-11-13,Los Angeles,0.6327,7,61.3,True,11,2,0
2024-11-14,Los Angeles,0.2729,3,22.9,True,11,3,0
2024-11-15,Los Angeles,0.6412,4,40.6,True,11,4,0
2024-11-16,Los Angeles,0.4758,3,34.7,True,11,5,0
2024-11-17,Los Angeles,0.4399,5,40.8,True,11,6,0
2024-11-18,Los Angeles,0.4933,5,52.1,True,11,0,0
2024-11-19,Los Angeles,0.6345,8,74.4,True,11,1,0
2024-11-20,Los Angeles,0.4479,2,37.3,True,11,2,0
2024-11-21,Los Angeles,0.5798,5,62.2,True,11,3,0
2024-11-22,Los Angeles,0.4251,5,45.0,True,11,4,0
2024-11-23,Los Angeles,0.4441,5,48.9,True,11,5,0
2024-11-24,Los Angeles,0.4093,4,50.4,True,11,6,0
2024-11-25,Los Angeles,0.5016,6,63.5,True,11,0,0
2024-11-26,Los Angeles,0.5321,8,81.4,True,11,1,0
2024-11-27,Los Angeles,0.6479,4,49.6,True,11,2,0
2024-11-28,Los Angeles,0.5577,6,71.9,True,11,3,0
2024-11-29,Los Angeles,0.5792,4,56.7,True,11,4,0
2024-11-30,Los Angeles,0.4852,4,51.2,True,11,5,0
2024-12-01,Los Angeles,0.4948,6,73.6,True,12,6,0
2024-12-02,Los Angeles,0.4421,5,51.7,True,12,0,0
2024-12-03,Los Angeles,0.5143,4,57.8,True,12,1,0
2024-12-04,Los Angeles,0.4961,5,44.3,True,12,2,0
2024-12-05,Los Angeles,0.4346,6,53.9,True,12,3,0
2024-12-06,Los Angeles,0.3425,2,35.9,True,12,4,0
2024-12-07,Los Angeles,0.7554,8,75.4,True,12,5,0
2024-12-08,Los Angeles,0.4845,3,48.4,True,12,6,0
2024-12-09,Los Angeles,0.3694,4,34.9,True,12,0,0
2024-12-10,Los Angeles,0.5391,6,77.6,True,12,1,0
2024-12-11,Los Angeles,0.6894,6,78.1,True,12,2,0
2024-12-12,Los Angeles,0.3948,5,57.3,True,12,3,0
2024-12-13,Los Angeles,0.4891,4,52.1,True,12,4,0
2024-12-14,Los Angeles,0.5134,3,49.8,True,12,5,0
2024-12-15,Los Angeles,0.4991,5,48.6,True,12,6,0
2024-12-16,Los Angeles,0.4387,4,45.4,True,12,0,0
2024-12-17,Los Angeles,0.3528,2,34.5,True,12,1,0
2024-12-18,Los Angeles,0.4511,2,36.9,True,12,2,0
2024-12-19,Los Angeles,0.2466,1,18.7,True,12,3,0
2024-12-20,Los Angeles,0.6058,4,56.2,True,12,4,0
2024-12-21,Los Angeles,0.5105,4,38.0,True,12,5,0
2024-12-22,Los Angeles,0.6203,4,43.6,True,12,6,0
2024-12-23,Los Angeles,0.469,4,58.9,True,12,0,0
2024-12-24,Los Angeles,0.5687,4,43.6,True,12,1,0
2024-12-25,Los Angeles,0.4979,3,49.6,True,12,2,0
2024-12-26,Los Angeles,0.5042,6,55.9,True,12,3,0
2024-12-27,Los Angeles,0.51,3,39.9,True,12,4,0
2024-12-28,Los Angeles,0.6115,4,53.9,True,12,5,0
2024-12-29,Los Angeles,0.2375,1,15.0,True,12,6,0
2024-12-30,Los Angeles,0.5423,5,52.7,True,12,0,0
2024-12-31,Los Angeles,0.6072,6,53.0,True,12,1,0
2025-01-01,Los Angeles,0.469,5,62.6,True,1,2,0
2025-01-02,Los Angeles,0.6599,6,73.3,True,1,3,0
2025-01-03,Los Angeles,0.4473,4,35.0,True,1,4,0
2025-01-04,Los Angeles,0.4656,5,58.9,True,1,5,0
2025-01-05,Los Angeles,0.3761,5,52.5,True,1,6,0
2025-01-06,Los Angeles,0.2479,5,44.7,True,1,0,0
2025-01-07,Los Angeles,0.488,6,53.1,True,1,1,0
2025-01-08,Los Angeles,0.6082,5,62.2,True,1,2,0
2025-01-09,Los Angeles,0.2951,2,16.5,True,1,3,0
2025-01-10,Los Angeles,0.5741,7,78.6,True,1,4,0
2025-01-11,Los Angeles,0.3631,8,71.4,True,1,5,0
2025-01-12,Los Angeles,0.3347,5,59.6,True,1,6,0
2025-01-13,Los Angeles,0.2941,6,54.9,True,1,0,0
2025-01-14,Los Angeles,0.4562,5,63.8,True,1,1,0
2025-01-15,Los Angeles,0.5629,5,49.4,True,1,2,0
2025-01-16,Los Angeles,0.3059,4,33.6,True,1,3,0
2025-01-17,Los Angeles,0.6859,7,64.0,True,1,4,0
2025-01-18,Los Angeles,0.5774,2,32.2,True,1,5,0
2025-01-19,Los Angeles,0.6686,5,58.0,True,1,6,0
2025-01-20,Los Angeles,0.5066,4,47.7,True,1,0,0
2025-01-21,Los Angeles,0.4845,4,54.3,True,1,1,0
2025-01-22,Los Angeles,0.4093,4,47.4,True,1,2,0
2025-01-23,Los Angeles,0.4048,2,34.9,True,1,3,0
2025-01-24,Los Angeles,0.3792,4,34.8,True,1,4,0
2025-01-25,Los Angeles,0.4925,6,67.7,True,1,5,0
2025-01-26,Los Angeles,0.6331,4,56.8,True,1,6,0
2025-01-27,Los Angeles,0.5628,4,51.4,True,1,0,0
2025-01-28,Los Angeles,0.271,3,30.4,True,1,1,0
2025-01-29,Los Angeles,0.4935,5,54.1,True,1,2,0
2025-01-30,Los Angeles,0.3045,1,23.6,True,1,3,0
2025-01-31,Los Angeles,0.4672,2,39.0,True,1,4,0
2025-02-01,Los Angeles,0.5998,3,49.8,True,2,5,0
2025-02-02,Los Angeles,0.5683,5,60.8,True,2,6,0
2025-02-03,Los Angeles,0.6289,7,78.8,True,2,0,0
2025-02-04,Los Angeles,0.5685,2,36.6,True,2,1,0
2025-02-05,Los Angeles,0.4896,5,57.3,True,2,2,0
2025-02-06,Los Angeles,0.3738,0,0.0,True,2,3,0
2025-02-07,Los Angeles,0.3038,5,45.6,True,2,4,0
2025-02-08,Los Angeles,0.5394,7,72.6,True,2,5,0
2025-02-09,Los Angeles,0.5321,7,84.1,True,2,6,0
2025-02-10,Los Angeles,0.575,5,52.9,True,2,0,0
2025-02-11,Los Angeles,0.4675,6,56.9,True,2,1,0
2025-02-12,Los Angeles,0.3781,4,46.8,True,2,2,0
2025-02-13,Los Angeles,0.5512,3,41.5,True,2,3,0
2025-02-14,Los Angeles,0.6252,7,87.9,True,2,4,0
2025-02-15,Los Angeles,0.635,6,62.8,True,2,5,0
2025-02-16,Los Angeles,0.3899,5,44.9,True,2,6,0
2025-02-17,Los Angeles,0.5205,4,45.3,True,2,0,0
2025-02-18,Los Angeles,0.5679,4,59.7,True,2,1,0
2025-02-19,Los Angeles,0.4932,7,60.4,True,2,2,0
2025-02-20,Los Angeles,0.3581,5,57.0,True,2,3,0
2025-02-21,Los Angeles,0.3152,1,17.2,True,2,4,0
2025-02-22,Los Angeles,0.3917,3,29.7,True,2,5,0
2025-02-23,Los Angeles,0.3381,3,37.1,True,2,6,0
2025-02-24,Los Angeles,0.4697,6,57.2,True,2,0,0
2025-02-25,Los Angeles,0.3632,1,17.0,True,2,1,0
2025-02-26,Los Angeles,0.5231,6,52.8,True,2,2,0
2025-02-27,Los Angeles,0.3744,2,34.1,True,2,3,0
2025-02-28,Los Angeles,0.4666,2,26.5,True,2,4,0
2025-03-01,Los Angeles,0.5733,8,88.5,True,3,5,0
2025-03-02,Los Angeles,0.5882,7,67.4,True,3,6,0
2025-03-03,Los Angeles,0.4892,7,63.9,True,3,0,0
2025-03-04,Los Angeles,0.4198,1,27.0,True,3,1,0
2025-03-05,Los Angeles,0.389,1,27.1,True,3,2,0
2025-03-06,Los Angeles,0.4254,4,36.7,True,3,3,0
2025-03-07,Los Angeles,0.5599,4,48.5,True,3,4,0
2025-03-08,Los Angeles,0.3751,5,50.8,True,3,5,0
2025-03-09,Los Angeles,0.477,0,19.1,True,3,6,0
2025-03-10,Los Angeles,0.3047,1,25.7,True,3,0,0
2025-03-11,Los Angeles,0.4563,5,53.5,True,3,1,0
2025-03-12,Los Angeles,0.1969,2,15.1,True,3,2,0
2025-03-13,Los Angeles,0.4988,4,37.2,True,3,3,0
2025-03-14,Los Angeles,0.4628,4,43.2,True,3,4,0
2025-03-15,Los Angeles,0.3878,5,49.5,True,3,5,0
2025-03-16,Los Angeles,0.6214,6,78.7,True,3,6,0
2025-03-17,Los Angeles,0.4427,5,52.8,True,3,0,0
2025-03-18,Los Angeles,0.4354,0,17.5,True,3,1,0
2025-03-19,Los Angeles,0.4118,3,34.9,True,3,2,0
2025-03-20,Los Angeles,0.3137,5,41.3,True,3,3,0
2025-03-21,Los Angeles,0.3709,2,33.1,True,3,4,0
2025-03-22,Los Angeles,0.4932,4,52.8,True,3,5,0
2025-03-23,Los Angeles,0.455,3,47.4,True,3,6,0
2025-03-24,Los Angeles,0.4903,3,43.2,True,3,0,0
2025-03-25,Los Angeles,0.4977,4,41.2,True,3,1,0
2025-03-26,Los Angeles,0.3908,5,54.7,True,3,2,0
2025-03-27,Los Angeles,0.5258,4,54.3,True,3,3,0
2025-03-28,Los Angeles,0.5929,6,60.3,True,3,4,0
2025-03-29,Los Angeles,0.3595,5,55.1,True,3,5,0
2025-03-30,Los Angeles,0.5346,6,57.7,True,3,6,0
2025-03-31,Los Angeles,0.4953,4,44.5,True,3,0,0
2025-04-01,Los Angeles,0.4397,3,39.1,True,4,1,0
2025-04-02,Los Angeles,0.4318,1,25.0,True,4,2,0
2025-04-03,Los Angeles,0.4776,3,31.7,True,4,3,0
2025-04-04,Los Angeles,0.6467,5,53.0,True,4,4,0
2025-04-05,Los Angeles,0.5044,4,53.1,True,4,5,0
2025-04-06,Los Angeles,0.3874,2,24.3,True,4,6,0
2025-04-07,Los Angeles,0.5171,4,35.2,True,4,0,0
2025-04-08,Los Angeles,0.5146,2,39.9,True,4,1,0
2025-04-09,Los Angeles,0.5432,6,51.7,True,4,2,0
2025-04-10,Los Angeles,0.5927,8,76.8,True,4,3,0
2025-04-11,Los Angeles,0.494,4,49.6,True,4,4,0
2025-04-12,Los Angeles,0.3364,5,42.3,True,4,5,0
2025-04-13,Los Angeles,0.4322,5,42.0,True,4,6,0
2025-04-14,Los Angeles,0.6047,5,49.7,True,4,0,0
2025-04-15,Los Angeles,0.5299,7,65.7,True,4,1,0
2025-04-16,Los Angeles,0.4372,1,24.1,True,4,2,0
2025-04-17,Los Angeles,0.3384,2,32.5,True,4,3,0
2025-04-18,Los Angeles,0.5013,5,54.1,True,4,4,0
2025-04-19,Los Angeles,0.5244,7,61.3,True,4,5,0
2025-04-20,Los Angeles,0.2971,3,36.3,True,4,6,0
2025-04-21,Los Angeles,0.6051,7,64.1,True,4,0,0
2025-04-22,Los Angeles,0.4333,5,49.9,True,4,1,0
2025-04-23,Los Angeles,0.5004,4,39.2,True,4,2,0
2025-04-24,Los Angeles,0.3928,7,61.8,True,4,3,0
2025-04-25,Los Angeles,0.6231,6,67.7,True,4,4,0
2025-04-26,Los Angeles,0.5743,4,47.8,True,4,5,0
2025-04-27,Los Angeles,0.529,6,59.3,True,4,6,0
2025-04-28,Los Angeles,0.3053,3,37.1,True,4,0,0
2025-04-29,Los Angeles,0.5346,5,52.0,True,4,1,0
2025-04-30,Los Angeles,0.3511,4,38.7,True,4,2,0
2025-05-01,Los Angeles,0.4367,5,42.4,True,5,3,0
2025-05-02,Los Angeles,0.3364,3,46.5,True,5,4,0
2025-05-03,Los Angeles,0.535,5,54.9,True,5,5,0
2025-05-04,Los Angeles,0.4447,2,34.2,True,5,6,0
2025-05-05,Los Angeles,0.5125,3,34.7,True,5,0,0
2025-05-06,Los Angeles,0.4091,4,55.8,True,5,1,0
2025-05-07,Los Angeles,0.5654,6,59.9,True,5,2,0
2025-05-08,Los Angeles,0.5599,4,48.8,True,5,3,0
2025-05-09,Los Angeles,0.4625,5,58.0,True,5,4,0
2025-05-10,Los Angeles,0.6034,5,49.5,True,5,5,0
2025-05-11,Los Angeles,0.4822,5,44.6,True,5,6,0
2025-05-12,Los Angeles,0.6819,6,53.4,True,5,0,0
2025-05-13,Los Angeles,0.5784,3,23.5,True,5,1,0
2025-05-14,Los Angeles,0.5455,5,66.7,True,5,2,0
2025-05-15,Los Angeles,0.4392,1,21.7,True,5,3,0
2025-05-16,Los Angeles,0.5311,4,41.5,True,5,4,0
2025-05-17,Los Angeles,0.5615,5,62.9,True,5,5,0
2025-05-18,Los Angeles,0.3591,6,51.6,True,5,6,0
2025-05-19,Los Angeles,0.3915,4,55.3,True,5,0,0
2025-05-20,Los Angeles,0.4742,4,54.1,True,5,1,0
2025-05-21,Los Angeles,0.508,9,80.7,True,5,2,0
2025-05-22,Los Angeles,0.4308,5,43.9,True,5,3,0
2025-05-23,Los Angeles,0.7002,8,73.2,True,5,4,0
2025-05-24,Los Angeles,0.5604,4,51.2,True,5,5,0
2025-05-25,Los Angeles,0.496,2,30.0,True,5,6,0
2025-05-26,Los Angeles,0.457,6,54.6,True,5,0,0
2025-05-27,Los Angeles,0.3456,2,32.3,True,5,1,0
2025-05-28,Los Angeles,0.5363,3,45.2,True,5,2,0
2025-05-29,Los Angeles,0.4135,5,41.7,True,5,3,0
2025-05-30,Los Angeles,0.4467,2,36.2,True,5,4,0
2025-05-31,Los Angeles,0.4486,5,67.1,True,5,5,0
2025-06-01,Los Angeles,0.78,5,62.8,True,6,6,1
2025-06-02,Los Angeles,0.4987,3,32.2,True,6,0,1
2025-06-03,Los Angeles,0.7167,8,75.9,True,6,1,1
2025-06-04,Los Angeles,0.7293,5,65.3,True,6,2,1
2025-06-05,Los Angeles,0.5579,4,46.2,True,6,3,1
2025-06-06,Los Angeles,0.5145,5,52.1,True,6,4,1
2025-06-07,Los Angeles,0.7985,8,75.5,True,6,5,1
2025-06-08,Los Angeles,0.6187,4,58.7,True,6,6,1
2025-06-09,Los Angeles,0.596,7,64.5,True,6,0,1
2025-06-10,Los Angeles,0.7975,10,90.6,True,6,1,1
2025-06-11,Los Angeles,0.7354,7,77.7,True,6,2,1
2025-06-12,Los Angeles,0.6505,6,54.0,True,6,3,1
2025-06-13,Los Angeles,0.6581,6,62.2,True,6,4,1
2025-06-14,Los Angeles,0.704,5,56.4,True,6,5,1
2025-06-15,Los Angeles,0.7088,6,65.0,True,6,6,1
2025-06-16,Los Angeles,0.6438,7,78.0,True,6,0,1
2025-06-17,Los Angeles,0.609,5,44.9,True,6,1,1
2025-06-18,Los Angeles,0.7993,8,70.8,True,6,2,1
2025-06-19,Los Angeles,0.7513,5,43.7,True,6,3,1
2025-06-20,Los Angeles,0.5184,6,57.5,True,6,4,1
2025-06-21,Los Angeles,0.613,7,60.3,True,6,5,1
2025-06-22,Los Angeles,0.7695,8,78.5,True,6,6,1
2025-06-23,Los Angeles,0.7009,6,74.4,True,6,0,1
2025-06-24,Los Angeles,0.5498,5,43.7,True,6,1,1
2025-06-25,Los Angeles,0.5469,4,60.0,True,6,2,1
2025-06-26,Los Angeles,0.741,7,70.7,True,6,3,1
2025-06-27,Los Angeles,0.4454,2,35.7,True,6,4,1
2025-06-28,Los Angeles,0.6732,7,85.6,True,6,5,1
2025-06-29,Los Angeles,0.6745,8,78.9,True,6,6,1
2025-06-30,Los Angeles,0.5466,5,58.9,True,6,0,1
2025-07-01,Los Angeles,0.7487,9,90.0,True,7,1,1
2025-07-02,Los Angeles,0.7666,11,101.7,True,7,2,1
2025-07-03,Los Angeles,0.5439,4,45.0,True,7,3,1
2025-07-04,Los Angeles,0.633,6,74.8,True,7,4,1
2025-07-05,Los Angeles,0.5305,7,60.6,True,7,5,1
2025-07-06,Los Angeles,0.6341,6,57.1,True,7,6,1
2025-07-07,Los Angeles,0.8224,5,62.5,True,7,0,1
2025-07-08,Los Angeles,0.391,3,45.9,True,7,1,1
2025-07-09,Los Angeles,0.6443,6,65.2,True,7,2,1
2025-07-10,Los Angeles,0.686,9,83.6,True,7,3,1
2025-07-11,Los Angeles,0.6934,5,67.1,True,7,4,1
2025-07-12,Los Angeles,0.5618,5,47.8,True,7,5,1
2025-07-13,Los Angeles,0.6598,7,66.4,True,7,6,1
2025-07-14,Los Angeles,0.7001,7,67.1,True,7,0,1
2025-07-15,Los Angeles,0.6609,6,67.0,True,7,1,1
2025-07-16,Los Angeles,0.6904,5,69.6,True,7,2,1
2025-07-17,Los Angeles,0.5025,5,60.4,True,7,3,1
2025-07-18,Los Angeles,0.6673,7,77.6,True,7,4,1
2025-07-19,Los Angeles,0.64,5,60.8,True,7,5,1
2025-07-20,Los Angeles,0.4673,4,46.3,True,7,6,1
2025-07-21,Los Angeles,0.4316,4,30.4,True,7,0,1
2025-07-22,Los Angeles,0.6892,5,61.3,True,7,1,1
2025-07-23,Los Angeles,0.4906,6,62.9,True,7,2,1
2025-07-24,Los Angeles,0.4491,3,46.6,True,7,3,1
2025-07-25,Los Angeles,0.6975,7,79.9,True,7,4,1
2025-07-26,Los Angeles,0.6433,8,71.7,True,7,5,1
2025-07-27,Los Angeles,0.4669,4,32.5,True,7,6,1
2025-07-28,Los Angeles,0.5492,3,42.1,True,7,0,1
2025-07-29,Los Angeles,0.5852,5,59.4,True,7,1,1
2025-07-30,Los Angeles,0.6309,8,82.7,True,7,2,1
2025-07-31,Los Angeles,0.7126,7,73.5,True,7,3,1
2025-08-01,Los Angeles,0.7773,9,99.9,True,8,4,1
2025-08-02,Los Angeles,0.5148,7,72.2,True,8,5,1
2025-08-03,Los Angeles,0.6598,7,70.1,True,8,6,1
2025-08-04,Los Angeles,0.7156,6,60.5,True,8,0,1
2025-08-05,Los Angeles,0.6052,5,60.3,True,8,1,1
2025-08-06,Los Angeles,0.5131,7,61.7,True,8,2,1
2025-08-07,Los Angeles,0.6803,7,78.5,True,8,3,1
2025-08-08,Los Angeles,0.653,7,84.5,True,8,4,1
2025-08-09,Los Angeles,0.6506,5,45.8,True,8,5,1
2025-08-10,Los Angeles,0.5906,5,69.9,True,8,6,1
2025-08-11,Los Angeles,0.6424,8,80.7,True,8,0,1
2025-08-12,Los Angeles,0.6303,6,69.5,True,8,1,1
2025-08-13,Los Angeles,0.7856,8,78.9,True,8,2,1
2025-08-14,Los Angeles,0.569,5,42.9,True,8,3,1
2025-08-15,Los Angeles,0.6925,7,74.6,True,8,4,1
2025-08-16,Los Angeles,0.6421,6,63.7,True,8,5,1
2025-08-17,Los Angeles,0.6711,4,56.0,True,8,6,1
2025-08-18,Los Angeles,0.6452,6,72.4,True,8,0,1
2025-08-19,Los Angeles,0.6946,8,81.0,True,8,1,1
2025-08-20,Los Angeles,0.6933,3,42.6,True,8,2,1
2025-08-21,Los Angeles,0.5143,3,41.8,True,8,3,1
2025-08-22,Los Angeles,0.7579,8,92.9,True,8,4,1
2025-08-23,Los Angeles,0.9029,10,98.5,True,8,5,1
2025-08-24,Los Angeles,0.5906,5,58.4,True,8,6,1
2025-08-25,Los Angeles,0.7062,5,53.9,True,8,0,1
2025-08-26,Los Angeles,0.6996,9,83.1,True,8,1,1
2025-08-27,Los Angeles,0.5377,4,57.6,True,8,2,1
2025-08-28,Los Angeles,0.6259,3,48.3,True,8,3,1
2025-08-29,Los Angeles,0.6782,5,68.3,True,8,4,1
2025-08-30,Los Angeles,0.6136,4,52.2,True,8,5,1
2025-08-31,Los Angeles,0.5228,6,51.2,True,8,6,1
2025-09-01,Los Angeles,0.6687,7,71.1,True,9,0,1
2025-09-02,Los Angeles,0.5629,5,42.7,True,9,1,1
2025-09-03,Los Angeles,0.6972,7,61.0,True,9,2,1
2025-09-04,Los Angeles,0.6092,6,58.4,True,9,3,1
2025-09-05,Los Angeles,0.7692,6,64.3,True,9,4,1
2025-09-06,Los Angeles,0.6614,6,77.2,True,9,5,1
2025-09-07,Los Angeles,0.6003,4,56.5,True,9,6,1
2025-09-08,Los Angeles,0.6424,10,90.6,True,9,0,1
2025-09-09,Los Angeles,0.6693,6,67.6,True,9,1,1
2025-09-10,Los Angeles,0.6176,4,47.5,True,9,2,1
2025-09-11,Los Angeles,0.6095,4,56.6,True,9,3,1
2025-09-12,Los Angeles,0.6413,7,62.6,True,9,4,1
2025-09-13,Los Angeles,0.7486,6,72.0,True,9,5,1
2025-09-14,Los Angeles,0.6942,7,70.2,True,9,6,1
2025-09-15,Los Angeles,0.5455,6,63.5,True,9,0,1
2025-09-16,Los Angeles,0.6095,5,60.4,True,9,1,1
2025-09-17,Los Angeles,0.5301,5,46.7,True,9,2,1
2025-09-18,Los Angeles,0.7256,6,54.9,True,9,3,1
2025-09-19,Los Angeles,0.5901,5,62.8,True,9,4,1
2025-09-20,Los Angeles,0.7218,5,56.8,True,9,5,1
2025-09-21,Los Angeles,0.8646,10,90.5,True,9,6,1
2025-09-22,Los Angeles,0.7202,6,75.4,True,9,0,1
2025-09-23,Los Angeles,0.6759,5,60.2,True,9,1,1
2025-09-24,Los Angeles,0.5778,3,40.9,True,9,2,1
2025-09-25,Los Angeles,0.674,4,58.8,True,9,3,1
2025-09-26,Los Angeles,0.5563,6,59.9,True,9,4,1
2025-09-27,Los Angeles,0.8194,6,78.3,True,9,5,1
2025-09-28,Los Angeles,0.4752,5,41.4,True,9,6,1
2025-09-29,Los Angeles,0.6747,5,65.8,True,9,0,1
2025-09-30,Los Angeles,0.6851,6,70.8,True,9,1,1
2025-10-01,Los Angeles,0.4389,0,12.1,True,10,2,0
2025-10-02,Los Angeles,0.4952,3,42.5,True,10,3,0
2025-10-03,Los Angeles,0.4593,3,32.3,True,10,4,0
2025-10-04,Los Angeles,0.6001,4,55.8,True,10,5,0
2025-10-05,Los Angeles,0.4517,7,77.8,True,10,6,0
2025-10-06,Los Angeles,0.5472,6,62.8,True,10,0,0
2025-10-07,Los Angeles,0.3957,5,42.9,True,10,1,0
2025-10-08,Los Angeles,0.5559,5,66.9,True,10,2,0
2025-10-09,Los Angeles,0.3031,2,23.8,True,10,3,0
2025-10-10,Los Angeles,0.5378,6,52.7,True,10,4,0
2025-10-11,Los Angeles,0.5815,7,71.1,True,10,5,0
2025-10-12,Los Angeles,0.3596,3,32.6,True,10,6,0
2025-10-13,Los Angeles,0.3275,3,40.4,True,10,0,0
2025-10-14,Los Angeles,0.5267,6,66.5,True,10,1,0
2025-10-15,Los Angeles,0.3832,4,37.9,True,10,2,0
2025-10-16,Los Angeles,0.6185,6,60.9,True,10,3,0
2025-10-17,Los Angeles,0.3567,2,34.9,True,10,4,0
2025-10-18,Los Angeles,0.5337,7,66.6,True,10,5,0
2025-10-19,Los Angeles,0.5181,4,48.7,True,10,6,0
2025-10-20,Los Angeles,0.5395,4,43.8,True,10,0,0
2025-10-21,Los Angeles,0.4507,6,50.5,True,10,1,0
2025-10-22,Los Angeles,0.5551,7,60.6,True,10,2,0
2025-10-23,Los Angeles,0.3688,1,23.5,True,10,3,0
2025-10-24,Los Angeles,0.3965,2,38.0,True,10,4,0
2025-10-25,Los Angeles,0.1854,4,37.5,True,10,5,0
2025-10-26,Los Angeles,0.6648,7,61.5,True,10,6,0
2025-10-27,Los Angeles,0.5264,6,71.9,True,10,0,0
2025-10-28,Los Angeles,0.563,6,71.4,True,10,1,0
2025-10-29,Los Angeles,0.52,4,36.9,True,10,2,0
2025-10-30,Los Angeles,0.6274,6,61.0,True,10,3,0
2025-10-31,Los Angeles,0.6008,5,51.2,True,10,4,0
2025-11-01,Los Angeles,0.3302,4,36.2,True,11,5,0
2025-11-02,Los Angeles,0.5671,4,58.5,True,11,6,0
2025-11-03,Los Angeles,0.3941,6,54.0,True,11,0,0
2025-11-04,Los Angeles,0.4107,1,18.1,True,11,1,0
2025-11-05,Los Angeles,0.3639,7,66.7,True,11,2,0
2025-11-06,Los Angeles,0.4393,5,48.1,True,11,3,0
