date,port,congestion_score,avg_queue_length_vessels,avg_wait_hours,is_synthetic,proxy_source
2024-10-02,Rotterdam,0.5882,4,58.2,True,Weather-Correlated Engine
2024-10-02,Los Angeles,0.5266,6,52.1,True,Weather-Correlated Engine
2024-10-03,Shanghai,0.6383,6,63.2,True,Weather-Correlated Engine
2024-10-03,Singapore,0.6021,4,59.6,True,Weather-Correlated Engine
2024-10-03,Rotterdam,0.5698,4,56.4,True,Weather-Correlated Engine
2024-10-03,Los Angeles,0.4968,5,49.2,True,Weather-Correlated Engine
2024-10-04,Shanghai,0.6216,6,61.5,True,Weather-Correlated Engine
2024-10-04,Singapore,0.5963,6,59.0,True,Weather-Correlated Engine
2024-10-04,Rotterdam,0.5506,4,54.5,True,Weather-Correlated Engine
2024-10-04,Los Angeles,0.501,5,49.6,True,Weather-Correlated Engine
2024-10-05,Shanghai,0.6148,6,60.9,True,Weather-Correlated Engine
2024-10-05,Singapore,0.601,6,59.5,True,Weather-Correlated Engine
2024-10-05,Rotterdam,0.5457,6,54.0,True,Weather-Correlated Engine
2024-10-05,Los Angeles,0.4853,4,48.0,True,Weather-Correlated Engine
2024-10-06,Shanghai,0.6457,5,63.9,True,Weather-Correlated Engine
2024-10-06,Singapore,0.6154,5,60.9,True,Weather-Correlated Engine
2024-10-06,Rotterdam,0.5559,5,55.0,True,Weather-Correlated Engine
2024-10-06,Los Angeles,0.4893,5,48.4,True,Weather-Correlated Engine
2024-10-07,Shanghai,0.6398,5,63.3,True,Weather-Correlated Engine
2024-10-07,Singapore,0.6145,7,60.8,True,Weather-Correlated Engine
2024-10-07,Rotterdam,0.5788,4,57.3,True,Weather-Correlated Engine
2024-10-07,Los Angeles,0.4829,4,47.8,True,Weather-Correlated Engine
2024-10-08,Shanghai,0.623,6,61.7,True,Weather-Correlated Engine
2024-10-08,Singapore,0.5845,5,57.9,True,Weather-Correlated Engine
2024-10-08,Rotterdam,0.5685,4,56.3,True,Weather-Correlated Engine
2024-10-08,Los Angeles,0.5205,5,51.5,True,Weather-Correlated Engine
2024-10-09,Shanghai,0.6119,5,60.6,True,Weather-Correlated Engine
2024-10-09,Singapore,0.5732,5,56.7,True,Weather-Correlated Engine
2024-10-09,Rotterdam,0.5437,4,53.8,True,Weather-Correlated Engine
2024-10-09,Los Angeles,0.5172,5,51.2,True,Weather-Correlated Engine
2024-10-10,Shanghai,0.6023,5,59.6,True,Weather-Correlated Engine
2024-10-10,Singapore,0.5918,4,58.6,True,Weather-Correlated Engine
2024-10-10,Rotterdam,0.566,5,56.0,True,Weather-Correlated Engine
2024-10-10,Los Angeles,0.521,4,51.6,True,Weather-Correlated Engine
2024-10-11,Shanghai,0.6364,6,63.0,True,Weather-Correlated Engine
2024-10-11,Singapore,0.5812,4,57.5,True,Weather-Correlated Engine
2024-10-11,Rotterdam,0.5774,6,57.2,True,Weather-Correlated Engine
2024-10-11,Los Angeles,0.502,4,49.7,True,Weather-Correlated Engine
2024-10-12,Shanghai,0.6452,7,63.9,True,Weather-Correlated Engine
2024-10-12,Singapore,0.5731,4,56.7,True,Weather-Correlated Engine
2024-10-12,Rotterdam,0.5573,4,55.2,True,Weather-Correlated Engine
2024-10-12,Los Angeles,0.5108,5,50.6,True,Weather-Correlated Engine
2024-10-13,Shanghai,0.6042,5,59.8,True,Weather-Correlated Engine
2024-10-13,Singapore,0.5908,4,58.5,True,Weather-Correlated Engine
2024-10-13,Rotterdam,0.5733,5,56.8,True,Weather-Correlated Engine
2024-10-13,Los Angeles,0.4817,3,47.7,True,Weather-Correlated Engine
2024-10-14,Shanghai,0.6026,5,59.7,True,Weather-Correlated Engine
2024-10-14,Singapore,0.5876,5,58.2,True,Weather-Correlated Engine
2024-10-14,Rotterdam,0.566,4,56.0,True,Weather-Correlated Engine
2024-10-14,Los Angeles,0.4935,3,48.9,True,Weather-Correlated Engine
2024-10-15,Shanghai,0.6208,7,61.5,True,Weather-Correlated Engine
2024-10-15,Singapore,0.6053,4,59.9,True,Weather-Correlated Engine
2024-10-15,Rotterdam,0.5552,4,55.0,True,Weather-Correlated Engine
2024-10-15,Los Angeles,0.4859,5,48.1,True,Weather-Correlated Engine
2024-10-16,Shanghai,0.6472,7,64.1,True,Weather-Correlated Engine
2024-10-16,Singapore,0.5705,6,56.5,True,Weather-Correlated Engine
2024-10-16,Rotterdam,0.563,4,55.7,True,Weather-Correlated Engine
2024-10-16,Los Angeles,0.5298,4,52.5,True,Weather-Correlated Engine
2024-10-17,Shanghai,0.6003,6,59.4,True,Weather-Correlated Engine
2024-10-17,Singapore,0.5998,5,59.4,True,Weather-Correlated Engine
2024-10-17,Rotterdam,0.5558,5,55.0,True,Weather-Correlated Engine
2024-10-17,Los Angeles,0.4841,5,47.9,True,Weather-Correlated Engine
2024-10-18,Shanghai,0.6121,7,60.6,True,Weather-Correlated Engine
2024-10-18,Singapore,0.5788,6,57.3,True,Weather-Correlated Engine
2024-10-18,Rotterdam,0.5752,6,56.9,True,Weather-Correlated Engine
2024-10-18,Los Angeles,0.482,5,47.7,True,Weather-Correlated Engine
2024-10-19,Shanghai,0.6247,5,61.8,True,Weather-Correlated Engine
2024-10-19,Singapore,0.6027,5,59.7,True,Weather-Correlated Engine
2024-10-19,Rotterdam,0.564,5,55.8,True,Weather-Correlated Engine
2024-10-19,Los Angeles,0.5163,5,51.1,True,Weather-Correlated Engine
2024-10-20,Shanghai,0.6393,7,63.3,True,Weather-Correlated Engine
2024-10-20,Singapore,0.6055,6,59.9,True,Weather-Correlated Engine
2024-10-20,Rotterdam,0.5735,4,56.8,True,Weather-Correlated Engine
2024-10-20,Los Angeles,0.488,4,48.3,True,Weather-Correlated Engine
2024-10-21,Shanghai,0.6175,6,61.1,True,Weather-Correlated Engine
2024-10-21,Singapore,0.5711,5,56.5,True,Weather-Correlated Engine
2024-10-21,Rotterdam,0.5848,4,57.9,True,Weather-Correlated Engine
2024-10-21,Los Angeles,0.5075,5,50.2,True,Weather-Correlated Engine
2024-10-22,Shanghai,0.6072,7,60.1,True,Weather-Correlated Engine
2024-10-22,Singapore,0.5876,5,58.2,True,Weather-Correlated Engine
2024-10-22,Rotterdam,0.5575,5,55.2,True,Weather-Correlated Engine
2024-10-22,Los Angeles,0.5247,5,51.9,True,Weather-Correlated Engine
2024-10-23,Shanghai,0.6342,5,62.8,True,Weather-Correlated Engine
2024-10-23,Singapore,0.5701,4,56.4,True,Weather-Correlated Engine
2024-10-23,Rotterdam,0.5438,4,53.8,True,Weather-Correlated Engine
2024-10-23,Los Angeles,0.4845,4,48.0,True,Weather-Correlated Engine
2024-10-24,Shanghai,0.6082,5,60.2,True,Weather-Correlated Engine
2024-10-24,Singapore,0.5907,4,58.5,True,Weather-Correlated Engine
2024-10-24,Rotterdam,0.5443,4,53.9,True,Weather-Correlated Engine
2024-10-24,Los Angeles,0.5295,5,52.4,True,Weather-Correlated Engine
2024-10-25,Shanghai,0.6422,7,63.6,True,Weather-Correlated Engine
2024-10-25,Singapore,0.5853,4,57.9,True,Weather-Correlated Engine
2024-10-25,Rotterdam,0.5568,4,55.1,True,Weather-Correlated Engine
2024-10-25,Los Angeles,0.5013,3,49.6,True,Weather-Correlated Engine
2024-10-26,Shanghai,0.6323,5,62.6,True,Weather-Correlated Engine
2024-10-26,Singapore,0.6105,6,60.4,True,Weather-Correlated Engine
2024-10-26,Rotterdam,0.5552,6,55.0,True,Weather-Correlated Engine
2024-10-26,Los Angeles,0.4922,3,48.7,True,Weather-Correlated Engine
2024-10-27,Shanghai,0.6282,5,62.2,True,Weather-Correlated Engine
2024-10-27,Singapore,0.6178,7,61.2,True,Weather-Correlated Engine
2024-10-27,Rotterdam,0.5699,5,56.4,True,Weather-Correlated Engine
2024-10-27,Los Angeles,0.5094,5,50.4,True,Weather-Correlated Engine
2024-10-28,Shanghai,0.6021,5,59.6,True,Weather-Correlated Engine
2024-10-28,Singapore,0.5913,6,58.5,True,Weather-Correlated Engine
2024-10-28,Rotterdam,0.5602,4,55.5,True,Weather-Correlated Engine
2024-10-28,Los Angeles,0.4925,4,48.8,True,Weather-Correlated Engine
2024-10-29,Shanghai,0.6372,7,63.1,True,Weather-Correlated Engine
2024-10-29,Singapore,0.5861,5,58.0,True,Weather-Correlated Engine
2024-10-29,Rotterdam,0.5803,4,57.5,True,Weather-Correlated Engine
2024-10-29,Los Angeles,0.5021,5,49.7,True,Weather-Correlated Engine
2024-10-30,Shanghai,0.621,5,61.5,True,Weather-Correlated Engine
2024-10-30,Singapore,0.6013,5,59.5,True,Weather-Correlated Engine
2024-10-30,Rotterdam,0.5684,4,56.3,True,Weather-Correlated Engine
2024-10-30,Los Angeles,0.4961,5,49.1,True,Weather-Correlated Engine
2024-10-31,Shanghai,0.6065,6,60.0,True,Weather-Correlated Engine
2024-10-31,Singapore,0.5716,4,56.6,True,Weather-Correlated Engine
2024-10-31,Rotterdam,0.5684,5,56.3,True,Weather-Correlated Engine
2024-10-31,Los Angeles,0.4937,3,48.9,True,Weather-Correlated Engine
2024-11-01,Shanghai,0.6479,7,64.1,True,Weather-Correlated Engine
2024-11-01,Singapore,0.6112,7,60.5,True,Weather-Correlated Engine
2024-11-01,Rotterdam,0.5406,4,53.5,True,Weather-Correlated Engine
2024-11-01,Los Angeles,0.4812,3,47.6,True,Weather-Correlated Engine
2024-11-02,Shanghai,0.6333,5,62.7,True,Weather-Correlated Engine
2024-11-02,Singapore,0.6053,5,59.9,True,Weather-Correlated Engine
2024-11-02,Rotterdam,0.5575,6,55.2,True,Weather-Correlated Engine
2024-11-02,Los Angeles,0.5116,5,50.7,True,Weather-Correlated Engine
2024-11-03,Shanghai,0.6162,6,61.0,True,Weather-Correlated Engine
2024-11-03,Singapore,0.6173,5,61.1,True,Weather-Correlated Engine
2024-11-03,Rotterdam,0.5688,5,56.3,True,Weather-Correlated Engine
2024-11-03,Los Angeles,0.5058,4,50.1,True,Weather-Correlated Engine
2024-11-04,Shanghai,0.6446,6,63.8,True,Weather-Correlated Engine
2024-11-04,Singapore,0.6105,5,60.4,True,Weather-Correlated Engine
2024-11-04,Rotterdam,0.5587,4,55.3,True,Weather-Correlated Engine
2024-11-04,Los Angeles,0.4823,3,47.8,True,Weather-Correlated Engine
2024-11-05,Shanghai,0.6398,6,63.3,True,Weather-Correlated Engine
2024-11-05,Singapore,0.5961,6,59.0,True,Weather-Correlated Engine
2024-11-05,Rotterdam,0.5599,5,55.4,True,Weather-Correlated Engine
2024-11-05,Los Angeles,0.5179,5,51.3,True,Weather-Correlated Engine
2024-11-06,Shanghai,0.6463,7,64.0,True,Weather-Correlated Engine
2024-11-06,Singapore,0.6072,6,60.1,True,Weather-Correlated Engine
2024-11-06,Rotterdam,0.5488,6,54.3,True,Weather-Correlated Engine
2024-11-06,Los Angeles,0.5153,6,51.0,True,Weather-Correlated Engine
2024-11-07,Shanghai,0.6091,6,60.3,True,Weather-Correlated Engine
2024-11-07,Singapore,0.5938,4,58.8,True,Weather-Correlated Engine
2024-11-07,Rotterdam,0.5646,6,55.9,True,Weather-Correlated Engine
2024-11-07,Los Angeles,0.5256,5,52.0,True,Weather-Correlated Engine
2024-11-08,Shanghai,0.6359,7,63.0,True,Weather-Correlated Engine
2024-11-08,Singapore,0.6092,5,60.3,True,Weather-Correlated Engine
2024-11-08,Rotterdam,0.5438,4,53.8,True,Weather-Correlated Engine
2024-11-08,Los Angeles,0.5031,4,49.8,True,Weather-Correlated Engine
2024-11-09,Shanghai,0.6305,5,62.4,True,Weather-Correlated Engine
2024-11-09,Singapore,0.6003,5,59.4,True,Weather-Correlated Engine
2024-11-09,Rotterdam,0.5555,6,55.0,True,Weather-Correlated Engine
2024-11-09,Los Angeles,0.5219,4,51.7,True,Weather-Correlated Engine
2024-11-10,Shanghai,0.6068,6,60.1,True,Weather-Correlated Engine
2024-11-10,Singapore,0.6163,6,61.0,True,Weather-Correlated Engine
2024-11-10,Rotterdam,0.5746,4,56.9,True,Weather-Correlated Engine
2024-11-10,Los Angeles,0.4949,4,49.0,True,Weather-Correlated Engine
2024-11-11,Shanghai,0.6408,5,63.4,True,Weather-Correlated Engine
2024-11-11,Singapore,0.6176,7,61.1,True,Weather-Correlated Engine
2024-11-11,Rotterdam,0.5541,5,54.9,True,Weather-Correlated Engine
2024-11-11,Los Angeles,0.4867,4,48.2,True,Weather-Correlated Engine
2024-11-12,Shanghai,0.6388,6,63.2,True,Weather-Correlated Engine
2024-11-12,Singapore,0.586,4,58.0,True,Weather-Correlated Engine
2024-11-12,Rotterdam,0.5752,4,56.9,True,Weather-Correlated Engine
2024-11-12,Los Angeles,0.5083,6,50.3,True,Weather-Correlated Engine
2024-11-13,Shanghai,0.6207,5,61.5,True,Weather-Correlated Engine
2024-11-13,Singapore,0.6062,5,60.0,True,Weather-Correlated Engine
2024-11-13,Rotterdam,0.5737,6,56.8,True,Weather-Correlated Engine
2024-11-13,Los Angeles,0.5153,6,51.0,True,Weather-Correlated Engine
2024-11-14,Shanghai,0.6497,7,64.3,True,Weather-Correlated Engine
2024-11-14,Singapore,0.6104,7,60.4,True,Weather-Correlated Engine
2024-11-14,Rotterdam,0.5809,6,57.5,True,Weather-Correlated Engine
2024-11-14,Los Angeles,0.5003,5,49.5,True,Weather-Correlated Engine
2024-11-15,Shanghai,0.6003,5,59.4,True,Weather-Correlated Engine
2024-11-15,Singapore,0.5928,4,58.7,True,Weather-Correlated Engine
2024-11-15,Rotterdam,0.5775,4,57.2,True,Weather-Correlated Engine
2024-11-15,Los Angeles,0.5064,4,50.1,True,Weather-Correlated Engine
2024-11-16,Shanghai,0.619,5,61.3,True,Weather-Correlated Engine
2024-11-16,Singapore,0.6013,4,59.5,True,Weather-Correlated Engine
2024-11-16,Rotterdam,0.5498,4,54.4,True,Weather-Correlated Engine
2024-11-16,Los Angeles,0.5057,5,50.1,True,Weather-Correlated Engine
2024-11-17,Shanghai,0.637,6,63.1,True,Weather-Correlated Engine
2024-11-17,Singapore,0.5797,6,57.4,True,Weather-Correlated Engine
2024-11-17,Rotterdam,0.5464,4,54.1,True,Weather-Correlated Engine
2024-11-17,Los Angeles,0.5253,6,52.0,True,Weather-Correlated Engine
2024-11-18,Shanghai,0.6072,5,60.1,True,Weather-Correlated Engine
2024-11-18,Singapore,0.6118,5,60.6,True,Weather-Correlated Engine
2024-11-18,Rotterdam,0.5616,6,55.6,True,Weather-Correlated Engine
2024-11-18,Los Angeles,0.5205,4,51.5,True,Weather-Correlated Engine
2024-11-19,Shanghai,0.6176,7,61.1,True,Weather-Correlated Engine
2024-11-19,Singapore,0.5994,5,59.3,True,Weather-Correlated Engine
2024-11-19,Rotterdam,0.5459,6,54.0,True,Weather-Correlated Engine
2024-11-19,Los Angeles,0.5295,5,52.4,True,Weather-Correlated Engine
2024-11-20,Shanghai,0.6296,7,62.3,True,Weather-Correlated Engine
2024-11-20,Singapore,0.6069,5,60.1,True,Weather-Correlated Engine
2024-11-20,Rotterdam,0.5686,5,56.3,True,Weather-Correlated Engine
2024-11-20,Los Angeles,0.4881,4,48.3,True,Weather-Correlated Engine
2024-11-21,Shanghai,0.6234,5,61.7,True,Weather-Correlated Engine
2024-11-21,Singapore,0.5979,5,59.2,True,Weather-Correlated Engine
2024-11-21,Rotterdam,0.5715,6,56.6,True,Weather-Correlated Engine
2024-11-21,Los Angeles,0.5019,3,49.7,True,Weather-Correlated Engine
2024-11-22,Shanghai,0.6361,5,63.0,True,Weather-Correlated Engine
2024-11-22,Singapore,0.5724,5,56.7,True,Weather-Correlated Engine
2024-11-22,Rotterdam,0.5862,5,58.0,True,Weather-Correlated Engine
2024-11-22,Los Angeles,0.5228,5,51.8,True,Weather-Correlated Engine
2024-11-23,Shanghai,0.6171,7,61.1,True,Weather-Correlated Engine
2024-11-23,Singapore,0.6171,5,61.1,True,Weather-Correlated Engine
2024-11-23,Rotterdam,0.565,5,55.9,True,Weather-Correlated Engine
2024-11-23,Los Angeles,0.5027,5,49.8,True,Weather-Correlated Engine
2024-11-24,Shanghai,0.6133,7,60.7,True,Weather-Correlated Engine
2024-11-24,Singapore,0.6098,6,60.4,True,Weather-Correlated Engine
2024-11-24,Rotterdam,0.5742,5,56.9,True,Weather-Correlated Engine
2024-11-24,Los Angeles,0.4818,4,47.7,True,Weather-Correlated Engine
2024-11-25,Shanghai,0.6365,5,63.0,True,Weather-Correlated Engine
2024-11-25,Singapore,0.6016,6,59.6,True,Weather-Correlated Engine
2024-11-25,Rotterdam,0.5611,5,55.6,True,Weather-Correlated Engine
2024-11-25,Los Angeles,0.5023,5,49.7,True,Weather-Correlated Engine
2024-11-26,Shanghai,0.6404,6,63.4,True,Weather-Correlated Engine
2024-11-26,Singapore,0.61,6,60.4,True,Weather-Correlated Engine
2024-11-26,Rotterdam,0.5497,5,54.4,True,Weather-Correlated Engine
2024-11-26,Los Angeles,0.5009,5,49.6,True,Weather-Correlated Engine
2024-11-27,Shanghai,0.623,5,61.7,True,Weather-Correlated Engine
2024-11-27,Singapore,0.572,4,56.6,True,Weather-Correlated Engine
2024-11-27,Rotterdam,0.5834,6,57.8,True,Weather-Correlated Engine
2024-11-27,Los Angeles,0.5129,5,50.8,True,Weather-Correlated Engine
2024-11-28,Shanghai,0.6484,7,64.2,True,Weather-Correlated Engine
2024-11-28,Singapore,0.6092,7,60.3,True,Weather-Correlated Engine
2024-11-28,Rotterdam,0.5826,6,57.7,True,Weather-Correlated Engine
2024-11-28,Los Angeles,0.5146,4,50.9,True,Weather-Correlated Engine
2024-11-29,Shanghai,0.6012,6,59.5,True,Weather-Correlated Engine
2024-11-29,Singapore,0.6142,5,60.8,True,Weather-Correlated Engine
2024-11-29,Rotterdam,0.5614,4,55.6,True,Weather-Correlated Engine
2024-11-29,Los Angeles,0.4912,5,48.6,True,Weather-Correlated Engine
2024-11-30,Shanghai,0.6202,6,61.4,True,Weather-Correlated Engine
2024-11-30,Singapore,0.579,6,57.3,True,Weather-Correlated Engine
2024-11-30,Rotterdam,0.5894,4,58.3,True,Weather-Correlated Engine
2024-11-30,Los Angeles,0.4975,3,49.3,True,Weather-Correlated Engine
2024-12-01,Shanghai,0.6453,7,63.9,True,Weather-Correlated Engine
2024-12-01,Singapore,0.5814,6,57.6,True,Weather-Correlated Engine
2024-12-01,Rotterdam,0.5567,4,55.1,True,Weather-Correlated Engine
2024-12-01,Los Angeles,0.5183,5,51.3,True,Weather-Correlated Engine
2024-12-02,Shanghai,0.6131,6,60.7,True,Weather-Correlated Engine
2024-12-02,Singapore,0.5986,6,59.3,True,Weather-Correlated Engine
2024-12-02,Rotterdam,0.5498,4,54.4,True,Weather-Correlated Engine
2024-12-02,Los Angeles,0.5068,6,50.2,True,Weather-Correlated Engine
2024-12-03,Shanghai,0.6132,7,60.7,True,Weather-Correlated Engine
2024-12-03,Singapore,0.5713,5,56.6,True,Weather-Correlated Engine
2024-12-03,Rotterdam,0.5878,4,58.2,True,Weather-Correlated Engine
2024-12-03,Los Angeles,0.5184,5,51.3,True,Weather-Correlated Engine
2024-12-04,Shanghai,0.6249,7,61.9,True,Weather-Correlated Engine
2024-12-04,Singapore,0.5735,6,56.8,True,Weather-Correlated Engine
2024-12-04,Rotterdam,0.5597,6,55.4,True,Weather-Correlated Engine
2024-12-04,Los Angeles,0.5103,6,50.5,True,Weather-Correlated Engine
2024-12-05,Shanghai,0.6311,7,62.5,True,Weather-Correlated Engine
2024-12-05,Singapore,0.6171,5,61.1,True,Weather-Correlated Engine
2024-12-05,Rotterdam,0.5795,4,57.4,True,Weather-Correlated Engine
2024-12-05,Los Angeles,0.5252,6,52.0,True,Weather-Correlated Engine
2024-12-06,Shanghai,0.6171,7,61.1,True,Weather-Correlated Engine
2024-12-06,Singapore,0.5749,5,56.9,True,Weather-Correlated Engine
2024-12-06,Rotterdam,0.5441,5,53.9,True,Weather-Correlated Engine
2024-12-06,Los Angeles,0.5293,6,52.4,True,Weather-Correlated Engine
2024-12-07,Shanghai,0.6238,6,61.8,True,Weather-Correlated Engine
2024-12-07,Singapore,0.5895,4,58.4,True,Weather-Correlated Engine
2024-12-07,Rotterdam,0.5769,5,57.1,True,Weather-Correlated Engine
2024-12-07,Los Angeles,0.5255,5,52.0,True,Weather-Correlated Engine
2024-12-08,Shanghai,0.6178,5,61.2,True,Weather-Correlated Engine
2024-12-08,Singapore,0.5815,4,57.6,True,Weather-Correlated Engine
2024-12-08,Rotterdam,0.576,4,57.0,True,Weather-Correlated Engine
2024-12-08,Los Angeles,0.5275,6,52.2,True,Weather-Correlated Engine
2024-12-09,Shanghai,0.6013,4,59.5,True,Weather-Correlated Engine
2024-12-09,Singapore,0.6172,6,61.1,True,Weather-Correlated Engine
2024-12-09,Rotterdam,0.586,5,58.0,True,Weather-Correlated Engine
2024-12-09,Los Angeles,0.5139,6,50.9,True,Weather-Correlated Engine
2024-12-10,Shanghai,0.6274,6,62.1,True,Weather-Correlated Engine
2024-12-10,Singapore,0.5814,4,57.6,True,Weather-Correlated Engine
2024-12-10,Rotterdam,0.5766,5,57.1,True,Weather-Correlated Engine
2024-12-10,Los Angeles,0.4971,3,49.2,True,Weather-Correlated Engine
2024-12-11,Shanghai,0.6138,7,60.8,True,Weather-Correlated Engine
2024-12-11,Singapore,0.6144,7,60.8,True,Weather-Correlated Engine
2024-12-11,Rotterdam,0.5686,6,56.3,True,Weather-Correlated Engine
2024-12-11,Los Angeles,0.5284,5,52.3,True,Weather-Correlated Engine
2024-12-12,Shanghai,0.64,5,63.4,True,Weather-Correlated Engine
2024-12-12,Singapore,0.5758,5,57.0,True,Weather-Correlated Engine
2024-12-12,Rotterdam,0.549,4,54.3,True,Weather-Correlated Engine
2024-12-12,Los Angeles,0.5285,6,52.3,True,Weather-Correlated Engine
2024-12-13,Shanghai,0.6205,6,61.4,True,Weather-Correlated Engine
2024-12-13,Singapore,0.6094,6,60.3,True,Weather-Correlated Engine
2024-12-13,Rotterdam,0.5785,5,57.3,True,Weather-Correlated Engine
2024-12-13,Los Angeles,0.4913,3,48.6,True,Weather-Correlated Engine
2024-12-14,Shanghai,0.6388,5,63.2,True,Weather-Correlated Engine
2024-12-14,Singapore,0.592,6,58.6,True,Weather-Correlated Engine
2024-12-14,Rotterdam,0.5802,6,57.4,True,Weather-Correlated Engine
2024-12-14,Los Angeles,0.4817,5,47.7,True,Weather-Correlated Engine
2024-12-15,Shanghai,0.6107,6,60.5,True,Weather-Correlated Engine
2024-12-15,Singapore,0.5933,5,58.7,True,Weather-Correlated Engine
2024-12-15,Rotterdam,0.5504,4,54.5,True,Weather-Correlated Engine
2024-12-15,Los Angeles,0.519,4,51.4,True,Weather-Correlated Engine
2024-12-16,Shanghai,0.6045,4,59.8,True,Weather-Correlated Engine
2024-12-16,Singapore,0.6171,5,61.1,True,Weather-Correlated Engine
2024-12-16,Rotterdam,0.5729,6,56.7,True,Weather-Correlated Engine
2024-12-16,Los Angeles,0.4968,4,49.2,True,Weather-Correlated Engine
2024-12-17,Shanghai,0.6262,5,62.0,True,Weather-Correlated Engine
2024-12-17,Singapore,0.5911,6,58.5,True,Weather-Correlated Engine
2024-12-17,Rotterdam,0.5674,6,56.2,True,Weather-Correlated Engine
2024-12-17,Los Angeles,0.5238,5,51.9,True,Weather-Correlated Engine
2024-12-18,Shanghai,0.6095,7,60.3,True,Weather-Correlated Engine
2024-12-18,Singapore,0.5713,6,56.6,True,Weather-Correlated Engine
2024-12-18,Rotterdam,0.581,4,57.5,True,Weather-Correlated Engine
2024-12-18,Los Angeles,0.5235,4,51.8,True,Weather-Correlated Engine
2024-12-19,Shanghai,0.6335,5,62.7,True,Weather-Correlated Engine
2024-12-19,Singapore,0.6194,5,61.3,True,Weather-Correlated Engine
2024-12-19,Rotterdam,0.5801,4,57.4,True,Weather-Correlated Engine
2024-12-19,Los Angeles,0.5024,4,49.7,True,Weather-Correlated Engine
2024-12-20,Shanghai,0.6077,5,60.2,True,Weather-Correlated Engine
2024-12-20,Singapore,0.5921,5,58.6,True,Weather-Correlated Engine
2024-12-20,Rotterdam,0.5564,4,55.1,True,Weather-Correlated Engine
2024-12-20,Los Angeles,0.5083,4,50.3,True,Weather-Correlated Engine
2024-12-21,Shanghai,0.6498,5,64.3,True,Weather-Correlated Engine
2024-12-21,Singapore,0.5816,5,57.6,True,Weather-Correlated Engine
2024-12-21,Rotterdam,0.564,5,55.8,True,Weather-Correlated Engine
2024-12-21,Los Angeles,0.5034,5,49.8,True,Weather-Correlated Engine
2024-12-22,Shanghai,0.6131,7,60.7,True,Weather-Correlated Engine
2024-12-22,Singapore,0.5905,6,58.5,True,Weather-Correlated Engine
2024-12-22,Rotterdam,0.5434,6,53.8,True,Weather-Correlated Engine
2024-12-22,Los Angeles,0.5139,4,50.9,True,Weather-Correlated Engine
